ix;id;sci;de;en;minConfidence
232;CalRuf0;Calandrella rufescens;Stummellerche;Lesser Short-toed Lark;
233;EmbMel0;Emberiza melanocephala;Kappenammer;Black-headed Bunting;
234;EmbAur0;Emberiza aureola;Weidenammer;Yellow-breasted Bunting;
235;AnsFab0;Anser fabalis;Saatgans;Taiga Bean Goose;
236;ChaMor0;Charadrius morinellus;Mornellregenpfeifer;Eurasian Dotterel;
237;PanHal0;Pandion haliaetus;Fischadler;Western Osprey;
238;RisTri0;Rissa tridactyla;Dreizehenmöwe;Black-legged Kittiwake;
239;AnsSer0;Anser serrirostris;Tundrasaatgans;Tundra Bean Goose;
240;PodNig0;Podiceps nigricollis;Schwarzhalstaucher;Black-necked Grebe;
241;CygCol0;Cygnus columbianus;Pfeifschwan, Zwergschwan;Tundra Swan;
242;ClaGla0;Clamator glandarius;Häherkuckuck;Great Spotted Cuckoo;
243;CalFer0;Calidris ferruginea;Sichelstrandläufer;Curlew Sandpiper;
244;LagMut0;Lagopus muta;Alpenschneehuhn;Rock Ptarmigan;
245;MilMil0;Milvus milvus;Rotmilan;Red Kite;
246;AquPom0;Aquila pomarina;Schreiadler;Lesser Spotted Eagle;
247;AnaAcu0;Anas acuta;Spießente;Northern Pintail;
248;MerSer0;Mergus serrator;Mittelsäger;Red-breasted Merganser;
249;CalCan0;Calidris canutus;Knutt;Red Knot;
250;SteSku0;Stercorarius skua;Skua;Great Skua;
251;HipOli0;Hippolais olivetorum;Olivenspötter;Olive-tree Warbler;
252;OenLeu0;Oenanthe leucura;Trauersteinschmätzer;Black Wheatear;
253;LanMin0;Lanius minor;Schwarzstirnwürger;Lesser Grey Shrike;
